run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimuli,images_chosen,click-by-click-data,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
11,1,"""","""","""","""","""",image-multi-select,57,390579,0.0-1.0-0.56,6168.080000032205,"[""Stimuli/positive/2025.jpg"",""Stimuli/negative/6311.jpg"",""Stimuli/positive/2002.jpg""]","[""Stimuli/positive/2025.jpg"",""Stimuli/positive/2002.jpg""]","{""top_image"":""Stimuli/positive/2025.jpg"",""top_image_clicks"":[5146.310000040103],""left_image"":""Stimuli/negative/6311.jpg"",""left_image_clicks"":[],""right_image"":""Stimuli/positive/2002.jpg"",""right_image_clicks"":[5506.8650000030175]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,58,398311,0.0-1.0-0.57,7720.220000017434,"[""Stimuli/positive/7499.jpg"",""Stimuli/positive/2002.jpg"",""Stimuli/negative/206.jpg""]","[""Stimuli/positive/7499.jpg"",""Stimuli/positive/2002.jpg""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[4271.2049999972805],""left_image"":""Stimuli/positive/2002.jpg"",""left_image_clicks"":[5534.845000016503],""right_image"":""Stimuli/negative/206.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,59,405013,0.0-1.0-0.58,6697.805000003427,"[""Stimuli/negative/206.jpg"",""Stimuli/negative/6510.jpg"",""Stimuli/positive/7325.jpg""]","[""Stimuli/negative/206.jpg"",""Stimuli/negative/6510.jpg""]","{""top_image"":""Stimuli/negative/206.jpg"",""top_image_clicks"":[1631.7000000271946,4221.765000023879],""left_image"":""Stimuli/negative/6510.jpg"",""left_image_clicks"":[4812.734999984968],""right_image"":""Stimuli/positive/7325.jpg"",""right_image_clicks"":[2112.039999978151]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,60,436162,0.0-1.0-0.59,31139.620000030845,"[""Stimuli/positive/7499.jpg"",""Stimuli/negative/207.jpg"",""Stimuli/neutral/N05.bmp""]","[""Stimuli/positive/7499.jpg"",""Stimuli/neutral/N05.bmp""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[30499.40999998944],""left_image"":""Stimuli/negative/207.jpg"",""left_image_clicks"":[],""right_image"":""Stimuli/neutral/N05.bmp"",""right_image_clicks"":[30267.460000002757]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,61,439756,0.0-1.0-0.60,3590.115000028163,"[""Stimuli/negative/214.jpg"",""Stimuli/neutral/N05.bmp"",""Stimuli/negative/9041.jpg""]","[""Stimuli/negative/214.jpg"",""Stimuli/negative/9041.jpg""]","{""top_image"":""Stimuli/negative/214.jpg"",""top_image_clicks"":[2983.040000020992],""left_image"":""Stimuli/neutral/N05.bmp"",""left_image_clicks"":[],""right_image"":""Stimuli/negative/9041.jpg"",""right_image_clicks"":[2801.58000002848]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,62,442739,0.0-1.0-0.61,2970.2999999863096,"[""Stimuli/positive/7499.jpg"",""Stimuli/positive/b.jpg"",""Stimuli/positive/7325.jpg""]","[""Stimuli/positive/b.jpg"",""Stimuli/positive/7325.jpg""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/positive/b.jpg"",""left_image_clicks"":[1566.1499999696389],""right_image"":""Stimuli/positive/7325.jpg"",""right_image_clicks"":[2434.034999983851]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,63,457930,0.0-1.0-0.62,15187.780000036582,"[""Stimuli/positive/7499.jpg"",""Stimuli/negative/3180.jpg"",""Stimuli/positive/7325.jpg""]","[""Stimuli/negative/3180.jpg"",""Stimuli/positive/7325.jpg""]","{""top_image"":""Stimuli/positive/7499.jpg"",""top_image_clicks"":[12305.975000024773],""left_image"":""Stimuli/negative/3180.jpg"",""left_image_clicks"":[12088.0350000225],""right_image"":""Stimuli/positive/7325.jpg"",""right_image_clicks"":[13869.535000005271,14809.219999995548]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,64,468400,0.0-1.0-0.63,10465.534999966621,"[""Stimuli/positive/8300.jpg"",""Stimuli/negative/207.jpg"",""Stimuli/negative/206.jpg""]","[""Stimuli/negative/207.jpg"",""Stimuli/negative/206.jpg""]","{""top_image"":""Stimuli/positive/8300.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/negative/207.jpg"",""left_image_clicks"":[9669.05999998562],""right_image"":""Stimuli/negative/206.jpg"",""right_image_clicks"":[9918.564999999944]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,65,471007,0.0-1.0-0.64,2603.155000018887,"[""Stimuli/positive/4689.jpg"",""Stimuli/neutral/SP2.jpg"",""Stimuli/positive/2002.jpg""]","[""Stimuli/neutral/SP2.jpg"",""Stimuli/positive/2002.jpg""]","{""top_image"":""Stimuli/positive/4689.jpg"",""top_image_clicks"":[],""left_image"":""Stimuli/neutral/SP2.jpg"",""left_image_clicks"":[1836.0300000058487],""right_image"":""Stimuli/positive/2002.jpg"",""right_image_clicks"":[2179.200000013225]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
11,1,"""","""","""","""","""",image-multi-select,66,482177,0.0-1.0-0.65,11164.934999949764,"[""Stimuli/positive/2395.jpg"",""Stimuli/neutral/SP3.jpg"",""Stimuli/negative/6510.jpg""]","[""Stimuli/positive/2395.jpg"",""Stimuli/neutral/SP3.jpg""]","{""top_image"":""Stimuli/positive/2395.jpg"",""top_image_clicks"":[10395.809999958146],""left_image"":""Stimuli/neutral/SP3.jpg"",""left_image_clicks"":[10200.699999986682],""right_image"":""Stimuli/negative/6510.jpg"",""right_image_clicks"":[]}","2021-06-05 00:47:08",99.239.35.37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",WebKit,Chrome,90.0.4430.212,Windows,10.0
